PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Morand-Ferron, J; Giraldeau, LA; Lefebvre, L				Morand-Ferron, Julie; Giraldeau, Luc-Alain; Lefebvre, Louis			Wild Carib grackles play a producer-scrounger game	BEHAVIORAL ECOLOGY			English	Article						carib grackles (Quiscalus lugubris); field experiments; kleptoparasitism; producer-scrounger games; social foraging theory	LONCHURA-PUNCTULATA; CAPTIVE FLOCKS; HOUSE SPARROWS; BEHAVIOR; FOOD; TACTICS; OYSTERCATCHERS; EXPLOITATION; ADVANTAGE; DOMINANCE	Producer-scrounger (PS) game-theoretical foraging models make predictions about the decision of group-feeding animals either to look for food (produce) or for opportunities to exploit the discoveries of other foragers (scrounge). We report the most complete demonstration to date of the applicability of the PS foraging game in a free-living animal, the Carib grackle (Quiscalus lugubris) of Barbados. As assumed by PS games, the payoffs obtained by scroungers were negatively frequency dependent. Experimentally, increasing the cost of scrounging led to a decrease in the observed proportion of scroungers, whereas raising the cost of producing increased the proportion of scroungers. Observations of marked birds revealed that group-level changes could be brought about by individual flexibility in tactic use. Despite consistent individual differences in tactic use, most birds used both tactics and could alter their use of producing and scrounging when conditions changed. We found no difference in the payoffs obtained by producers and scroungers, suggesting a symmetrical game equilibrium. Our results call for testing the PS foraging game in a broader range of biological systems that include different types of scrounging behavior (e.g., scramble, stealthful, or aggressive scrounging) as well as the exploitation of different phases of food production (e.g., searching, handling).	McGill Univ, Dept Biol, Montreal, PQ H3A 1B1, Canada; Univ Quebec, Montreal, PQ H3C 3P8, Canada	McGill University; University of Quebec; University of Quebec Montreal	Morand-Ferron, J (corresponding author), McGill Univ, Dept Biol, 1205 Doctor Penfield Ave, Montreal, PQ H3A 1B1, Canada.	morand-ferron.julie@uqam.ca	Morand-Ferron, Julie/AAW-7022-2021	Morand-Ferron, Julie/0000-0001-5186-7710					33	37	37	0	22	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	1045-2249			BEHAV ECOL	Behav. Ecol.	SEP-OCT	2007	18	5					916	921		10.1093/beheco/arm058	http://dx.doi.org/10.1093/beheco/arm058			6	Behavioral Sciences; Biology; Ecology; Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Behavioral Sciences; Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Zoology	211BC		Bronze			2023-03-15	WOS:000249498300015
J	Wen, JH; Weng, PX				Wen, Junhao; Weng, Peixuan			Stability and Hopf bifurcation of a producer-scrounger model with age-structure	ADVANCES IN DIFFERENCE EQUATIONS			English	Article						producer-scrounger model; age-structure; stability; uniform persistence; Hopf bifurcation	REACTION-DIFFUSION MODEL; DISTRIBUTED MATURATION DELAY; WAVE-FRONTS; STAGE STRUCTURE; POPULATION-MODEL	We derive a producer-scrounger model with age-structure in scrounger and looks into its dynamics. Using the methods of eigenvalue analysis and Lyapunov function, we find sufficient and necessary conditions for globally asymptotical stability of extinction equilibrium and scrounger-free equilibrium. A so-called basic reproduction ratio R-0 was established to determine whether the scrounger is extinct or uniformly persistent. It is found that if R-0 > 1, the mature time tau does change the dynamical behavior of the model. We confirm that Hopf bifurcation happens if the mature time tau increases.	[Wen, Junhao; Weng, Peixuan] South China Normal Univ, Sch Math, Guangzhou 510635, Guangdong, Peoples R China	South China Normal University	Weng, PX (corresponding author), South China Normal Univ, Sch Math, Guangzhou 510635, Guangdong, Peoples R China.	wengpx@scnu.edu.cn			NSF of China [11171120]; Natural Science Foundation of Guangdong Province [2016A030313426]	NSF of China(National Natural Science Foundation of China (NSFC)); Natural Science Foundation of Guangdong Province(National Natural Science Foundation of Guangdong Province)	Research is supported by NSF of China (11171120) and the Natural Science Foundation of Guangdong Province (2016A030313426). We are very grateful to the anonymous referee and the editors for a careful reading and helpful suggestions, which led to an improvement of our original manuscript.		19	1	1	0	8	SPRINGER INTERNATIONAL PUBLISHING AG	CHAM	GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND	1687-1847			ADV DIFFER EQU-NY	Adv. Differ. Equ.	SEP 22	2016									243	10.1186/s13662-016-0968-2	http://dx.doi.org/10.1186/s13662-016-0968-2			18	Mathematics, Applied; Mathematics	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	DX7ME		gold			2023-03-15	WOS:000384570800001
J	Evans, AW; Williams, DM; Blumstein, DT				Evans, Andrew W.; Williams, Dana M.; Blumstein, Daniel T.			Producer-scrounger relationships in yellow-bellied marmots	ANIMAL BEHAVIOUR			English	Article						facultatively social; generalist; producer-scrounger; puzzle box; social foraging; yellow-bellied marmot	BEHAVIOR; DOMINANCE	When social animals forage together, they may engage in frequency-dependent strategies either as producers, those who acquire food with their own energy, or as scroungers, those who feed on what the producers discover. An individual's choice of strategy may depend on the frequency of strategies within the group, or it may depend on the individual's own traits. Most of our understanding of producer-scrounger relationships comes from highly social species, but we may gain different insights by studying less social species. We used novel puzzle box experiments to study social foraging relationships and identify the traits associated with strategy choice in facultatively social yellow-bellied marmots, Marmota flaviventer. We found that marmots had consistent strategies as either producers or scroungers. Furthermore, several individuals specialized as scroungers, following the producers to the puzzle box before other scroungers. However, their roles were only associated with sex (males were more likely to produce), and not with age, boldness or dominance rank. Marmots' lack of trait-regulated foraging roles may be associated with their relatively abundant and not-entirely defensible food, or may emerge from their lack of obligate social structure. We discuss how multiple factors may explain variation in social foraging behaviour. (c) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.	[Evans, Andrew W.; Williams, Dana M.; Blumstein, Daniel T.] Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, 621 Young Dr South, Los Angeles, CA 90095 USA; [Evans, Andrew W.; Williams, Dana M.; Blumstein, Daniel T.] Rocky Mt Biol Labs, Crested Butte, CO USA	University of California System; University of California Los Angeles	Blumstein, DT (corresponding author), Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, 621 Young Dr South, Los Angeles, CA 90095 USA.	marmots@ucla.edu		Evans, Andrew/0000-0001-7861-9477; Williams, Dana M./0000-0003-3006-9183	U.S. National Science Foundation (NSF) REU [DEB 1557130]; J. W. & Nellie N. MacDowell Endowed Scholarship Fund through the University of California Los Angeles (UCLA) Undergraduate Research Fellows Program; Animal Behavior Society Student Research Grant; American Society of Mammologists; UCLA EEB Fellowship; NSF-GRFP; NSF [DEB 1557130, DBI 1646666]	U.S. National Science Foundation (NSF) REU(National Science Foundation (NSF)); J. W. & Nellie N. MacDowell Endowed Scholarship Fund through the University of California Los Angeles (UCLA) Undergraduate Research Fellows Program; Animal Behavior Society Student Research Grant; American Society of Mammologists; UCLA EEB Fellowship; NSF-GRFP(National Science Foundation (NSF)NSF - Office of the Director (OD)); NSF(National Science Foundation (NSF))	A.W.E. was a U.S. National Science Foundation (NSF) REU (DEB 1557130) and was supported by the J. W. & Nellie N. MacDowell Endowed Scholarship Fund through the University of California Los Angeles (UCLA) Undergraduate Research Fellows Program, D.M.W. was supported by an Animal Behavior Society Student Research Grant, an American Society of Mammologists Grants-in-Aid of Research, a UCLA EEB Fellowship and an NSF-GRFP. D.T.B. was supported by the NSF (DEB 1557130 to D.T.B., as well as DBI 1646666 to the Rocky Mountain Biological Laboratory). We thank the marmoteers from 2019 for helping collect the data and perform puzzle box experiments and the members of the Blumstein lab for comments and feedback on earlier drafts of the manuscript. We also thank Peter Nonacs for helpful advice on analysis of the data and comments on earlier drafts. Data and code are archived on OSF: https://osf.io/h2cev/		43	4	4	1	4	ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	LONDON	24-28 OVAL RD, LONDON NW1 7DX, ENGLAND	0003-3472	1095-8282		ANIM BEHAV	Anim. Behav.	FEB	2021	172						1	7		10.1016/j.anbehav.2020.11.018	http://dx.doi.org/10.1016/j.anbehav.2020.11.018			7	Behavioral Sciences; Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Behavioral Sciences; Zoology	QC0YO		Bronze			2023-03-15	WOS:000614560500002
J	Aplin, LM; Morand-Ferron, J				Aplin, L. M.; Morand-Ferron, J.			Stable producer-scrounger dynamics in wild birds: sociability and learning speed covary with scrounging behaviour	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES			English	Article						Parus major; producer-scrounger games; social network analysis; social learning; social foraging; animal personality	CONSISTENT INDIVIDUAL-DIFFERENCES; SOCIAL-FORAGING STRATEGIES; TACTIC USE; GREAT TITS; DOMINANCE; INFORMATION; PERSONALITY; EXPLORATION; EFFICIENCY; GAMES	There has been extensive game-theoretic modelling of conditions leading to equilibria of producer-scrounger dichotomies in groups. However there is a surprising paucity of experimental evidence in wild populations. Here, we examine producer-scrounger games in five subpopulations of birds feeding at a socially learnt foraging task. Over four weeks, a bimodal distribution of producers and scroungers emerged in all areas, with pronounced and consistent individual tactic specialization persisting over 3 years. Tactics were unrelated to exploratory personality, but correlated with latency to contact and learn the foraging task, with the late arrivers and slower learners more likely to adopt the scrounging role. Additionally, the social environment was also important: at the broad scale, larger subpopulations with a higher social density contained proportionally more scroungers, while within subpopulations scroungers tended to be central in the social network and be observed in larger foraging flocks. This study thus provides a rare example of a stable, dimorphic distribution of producer-scrounger tactics in a wild population. It further gives support across multiple scales for a major prediction of social foraging theory; that the frequency of scroungers increases with group size.	[Aplin, L. M.] Univ Oxford, Edward Grey Inst Field Ornithol, Oxford OX1 3PS, England; [Morand-Ferron, J.] Univ Ottawa, Dept Biol, Ottawa, ON K1N 6N5, Canada	University of Oxford; University of Ottawa	Aplin, LM (corresponding author), Univ Oxford, Edward Grey Inst Field Ornithol, Oxford OX1 3PS, England.	lucy.aplin@zoo.ox.ac.uk	Morand-Ferron, Julie/AAW-7022-2021	Morand-Ferron, Julie/0000-0001-5186-7710	Biotechnology and Biosciences Research Council [BB/L006081/1]; junior research fellowship at St John's College, University of Oxford; Natural Sciences and Engineering Research Council of Canada; BBSRC [BB/L006081/1] Funding Source: UKRI; Biotechnology and Biological Sciences Research Council [BB/L006081/1] Funding Source: researchfish	Biotechnology and Biosciences Research Council(UK Research & Innovation (UKRI)Biotechnology and Biological Sciences Research Council (BBSRC)); junior research fellowship at St John's College, University of Oxford; Natural Sciences and Engineering Research Council of Canada(Natural Sciences and Engineering Research Council of Canada (NSERC)CGIAR); BBSRC(UK Research & Innovation (UKRI)Biotechnology and Biological Sciences Research Council (BBSRC)); Biotechnology and Biological Sciences Research Council(UK Research & Innovation (UKRI)Biotechnology and Biological Sciences Research Council (BBSRC))	This research was supported by a Biotechnology and Biosciences Research Council grant no. (BB/L006081/1) to Ben Sheldon. L.M.A. is also supported by a junior research fellowship at St John's College, University of Oxford. J.M.-F. is supported by a Discovery grant from the Natural Sciences and Engineering Research Council of Canada.		57	27	27	1	28	ROYAL SOC	LONDON	6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND	0962-8452	1471-2954		P ROY SOC B-BIOL SCI	Proc. R. Soc. B-Biol. Sci.	APR 12	2017	284	1852							20162872	10.1098/rspb.2016.2872	http://dx.doi.org/10.1098/rspb.2016.2872			9	Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Evolutionary Biology	ES1NK	28404775	hybrid, Green Published			2023-03-15	WOS:000399294100009
J	Morand-Ferron, J; Giraldeau, LA				Morand-Ferron, Julie; Giraldeau, Luc-Alain			Learning behaviorally stable solutions to producer-scrounger games	BEHAVIORAL ECOLOGY			English	Article						behaviorally stable solution; game theory; joining; prior experience; producer-scrounger game; social foraging	GROUP FORAGERS; INFORMATION; EXPERIENCE; TACTICS; RULES; MODEL	Animal decision making is influenced by past experience in many biological contexts such as mating, avoiding predators, and foraging. In behavioral games, what constitutes a good or bad decision about which alternative to use depends on the behavior of other individuals. Solutions to games can take the form of a stable equilibrium frequency (SEF) of alternative tactics. In this study, we ask whether individuals within flocks of ground-feeding passerines (Lonchura punctulata) engaged in a producer-scrounger game adjust their behavior and converge on the SEF by using a fixed rule of thumb or by learning to estimate payoffs by the process of responding to contingencies in reinforcements obtained from each alternative tactic. After being trained either in a high-scrounging (HS) or a low-scrounging (LS) food condition, flocks of birds were provided with identical foraging conditions over 2 successive test phases in which we expected the SEF of scrounging to decrease and then to increase. Birds trained in the HS condition scrounged more than those trained in the LS condition and continued to do so even when subsequently tested in the same conditions. This effect of past experience is inconsistent with the use of a fixed rule alone. An improvement in the efficiency of scrounging behavior within experimental phases provided further evidence of learning in this game-theoretic context. This experiment provides the first empirical evidence that group-level adjustments in scrounger use to different environmental conditions are mediated by learning the payoffs associated with each tactic.	[Morand-Ferron, Julie; Giraldeau, Luc-Alain] Univ Quebec, Dept Sci Biol, Montreal, PQ H3C 3P8, Canada	University of Quebec; University of Quebec Montreal	Morand-Ferron, J (corresponding author), Univ Oxford, Dept Zool, Edward Grey Inst, S Parks Rd, Oxford OX1 3PS, England.	julie.morand-ferron@zoo.ox.ac.uk	Morand-Ferron, Julie/AAW-7022-2021	Morand-Ferron, Julie/0000-0001-5186-7710	Natural Sciences and Engineering Research Council of Canada [122815-2008]; Fonds quebecois de la recherche sur la nature et les technologies	Natural Sciences and Engineering Research Council of Canada(Natural Sciences and Engineering Research Council of Canada (NSERC)CGIAR); Fonds quebecois de la recherche sur la nature et les technologies(FQRNT)	Natural Sciences and Engineering Research Council of Canada (discovery grant 122815-2008 to L.-A.G.); Fonds quebecois de la recherche sur la nature et les technologies (postdoctoral fellowship to J.M.-F.).		41	36	36	0	24	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	1045-2249	1465-7279		BEHAV ECOL	Behav. Ecol.	MAR-APR	2010	21	2					343	348		10.1093/beheco/arp195	http://dx.doi.org/10.1093/beheco/arp195			6	Behavioral Sciences; Biology; Ecology; Zoology	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Behavioral Sciences; Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Zoology	555BZ		Bronze			2023-03-15	WOS:000274483400019
J	Wen, JH; Weng, PX				Wen, Junhao; Weng, Peixuan			TRAVELING WAVE SOLUTIONS IN A DIFFUSIVE PRODUCER-SCROUNGER MODEL	DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B			English	Article						Diffusive producer-scrounger model; linear stability; traveling wave solution; invariant convex set; Lyapunov function	MCKENDRICK EPIDEMIC MODEL; PREDATOR-PREY MODEL; LOTKA-VOLTERRA EQUATIONS; DISPERSAL SIR MODEL; FUNCTIONAL-RESPONSE; EXTERNAL SUPPLIES; SYSTEMS; PROPAGATION; EXISTENCE	This paper looks into the stability of equilibria, existence and nonexistence of traveling wave solutions in a diffusive producer-scrounger model. We find that the existence and non-existence of traveling wave solutions are determined by a minimum wave speed c(m) and a threshold value R-0. By constructing a suitable invariant convex set Gamma and applying Schauder fixed point theorem, the existence for c > c(m) , R0 > 1 was established. Besides, a Lyapunov function is constructed subtly to explore the asymptotic behaviors of traveling wave solutions. The non-existences of traveling wave solutions for both c < c(m), Ro > 1 and Ro <= 1, c > 0 were obtained by two-sides Laplace transform and reduction method to absurdity.	[Wen, Junhao; Weng, Peixuan] South China Normal Univ, Sch Math, Guangzhou 510631, Guangdong, Peoples R China	South China Normal University	Weng, PX (corresponding author), South China Normal Univ, Sch Math, Guangzhou 510631, Guangdong, Peoples R China.	wen_jh@m.scnu.edu.cn; wengpx@scnu.edu.cn			NSF of China [11171120]; Natural Science Foundation of Guangdong Province [2016A030313426]	NSF of China(National Natural Science Foundation of China (NSFC)); Natural Science Foundation of Guangdong Province(National Natural Science Foundation of Guangdong Province)	Supported by the NSF of China (11171120) and the Natural Science Foundation of Guangdong Province (2016A030313426).		25	0	0	0	9	AMER INST MATHEMATICAL SCIENCES-AIMS	SPRINGFIELD	PO BOX 2604, SPRINGFIELD, MO 65801-2604 USA	1531-3492	1553-524X		DISCRETE CONT DYN-B	Discrete Contin. Dyn. Syst.-Ser. B	MAR	2017	22	2					627	645		10.3934/dcdsb.2017030	http://dx.doi.org/10.3934/dcdsb.2017030			19	Mathematics, Applied	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	EF1QP		gold			2023-03-15	WOS:000390100100019
C	Akhand, MAH; Jannat, Z; Diba, T; Al-Mahmud			IEEE	Akhand, M. A. H.; Jannat, Zahrul; Diba, Tanzima; Al-Mahmud			Optimization of Capacitated Vehicle Routing Problem using Producer-Scrounger Method	2015 IEEE INTERNATIONAL WIE CONFERENCE ON ELECTRICAL AND COMPUTER ENGINEERING (WIECON-ECE)			English	Proceedings Paper	IEEE International WIE Conference on Electrical and Computer Engineering (WIECON-ECE)	DEC 19-20, 2015	Dhaka, BANGLADESH	IEEE Bangladesh Sect, Bangladesh Univ Eng Technol, Univ Collaborat		Capacitated Vehicle Routing Problem; Sweep Clustering; Producer-Scrounger Method	ALGORITHM	Vehicle Routing Problem (VRP) has become an integral part in logistic operations which determines optimal routes for several vehicles to serve customers. The basic version of VRP is Capacitated VRP (CVRP) which considers equal capacities for all vehicles. The most popular way of solving CVRP is splitting the task into two different phases: firstly, assigning customers under different vehicles and secondly, finding optimal route of each vehicle. Sweep clustering algorithm is well studied for clustering customer nodes. On the other hand, route optimization is simply a traveling salesman problem (TSP) and a number of TSP optimization methods are investigated for this purpose. This study investigates a variant of Sweep algorithm for clustering nodes and Producer-Scrounger Method (PSM), the recent swarm intelligence method for TSP, for route generation to get optimal CVRP solution. In conventional Sweep algorithm, cluster formation starts from 00 and consequently advance toward 360 to consider all the nodes. In variant Sweep, cluster formation starts from a user defined angle. We have compared the outcomes of the proposed method with other related methods including recent study on a suite of benchmark CVRPs. The experimental results revealed that proposed method outperformed other methods in solving benchmark CVRPs.	[Akhand, M. A. H.; Jannat, Zahrul; Diba, Tanzima; Al-Mahmud] Khulna Univ Engn & Technol, Dept Comp Sci & Engn, Khulna 9203, Bangladesh	Khulna University of Engineering & Technology (KUET)	Akhand, MAH (corresponding author), Khulna Univ Engn & Technol, Dept Comp Sci & Engn, Khulna 9203, Bangladesh.		Akhand, M. A. H./AAL-4198-2020	Akhand, M. A. H./0000-0001-5465-8519					19	1	1	0	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-8786-6				2015							297	300						4	Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BF3HW					2023-03-15	WOS:000380544500035
J	Beauchamp, G; Giraldeau, LA				Beauchamp, G; Giraldeau, LA			Patch exploitation in a producer-scrounger system: Test of a hypothesis using flocks of spice finches (Lonchura punctulata)	BEHAVIORAL ECOLOGY			English	Article						competition intensity patch exploitation; producer-scrounger system; search time; spice finch	MARGINAL VALUE THEOREM; EXPLOITING PATCHES; FORAGING SUCCESS; STURNUS-VULGARIS; CAPTIVE FLOCKS; JUNCO-HYEMALIS; COMPETITORS	Group foraging allows individuals (scroungers) to obtain food discovered by others (producers). Producer-scrounger game models typically overlook the costs and benefits of patch exploitation, assuming instead that producers and scroungers abandon patches simultaneously once depletion occurs. Here we develop an extension of the marginal value theorem of patch exploitation that includes the producer-scrounger dynamics and examine the propensity of a producer to abandon its patch before depletion once scroungers arrive. We predict that early departures should occur more often when expected searching time decreases and when competition intensity in the patch increases. Competition intensity is expected to increase when more scroungers are present or when patches are smaller. We tested these predictions using a within-subject experimental design with six captive flocks of spice finches (Lonchura punctulata), each composed of one producer and three scroungers. As predicted, producers abandoned their food discoveries more frequently once scroungers arrived when searching time was short, when more scroungers were present, and when patches were small. The results show that the producers of a patch often leave as scroungers join their food discoveries because the payoffs from leaving exceed those from staying.			Beauchamp, G (corresponding author), CONCORDIA UNIV, DEPT BIOL, 1455 DE MAISONNEUVE BLVD W, MONTREAL, PQ H3G 1M8, CANADA.								24	32	32	1	6	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	1045-2249	1465-7279		BEHAV ECOL	Behav. Ecol.	JAN-FEB	1997	8	1					54	59		10.1093/beheco/8.1.54	http://dx.doi.org/10.1093/beheco/8.1.54			6	Behavioral Sciences; Biology; Ecology; Zoology	Science Citation Index Expanded (SCI-EXPANDED)	Behavioral Sciences; Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Zoology	WH705		Bronze			2023-03-15	WOS:A1997WH70500007
J	Lehmann, L; Feldman, MW				Lehmann, Laurent; Feldman, Marcus W.			Coevolution of adaptive technology, maladaptive culture and population size in a producer-scrounger game	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES			English	Article						producer-scrounger game; technology; adaptation; maladaptation; individual and social learning; cyclic dynamics	ECONOMIC-GROWTH; EVOLUTION; ORIGIN	Technology (i.e. tools, methods of cultivation and domestication, systems of construction and appropriation, machines) has increased the vital rates of humans, and is one of the defining features of the transition from Malthusian ecological stagnation to a potentially perpetual rising population growth. Maladaptations, on the other hand, encompass behaviours, customs and practices that decrease the vital rates of individuals. Technology and maladaptations are part of the total stock of culture carried by the individuals in a population. Here, we develop a quantitative model for the coevolution of cumulative adaptive technology and maladaptive culture in a 'producer-scrounger' game, which can also usefully be interpreted as an 'individual-social' learner interaction. Producers (individual learners) are assumed to invent new adaptations and maladaptations by trial-and-error learning, insight or deduction, and they pay the cost of innovation. Scroungers (social learners) are assumed to copy or imitate (cultural transmission) both the adaptations and maladaptations generated by producers. We show that the coevolutionary dynamics of producers and scroungers in the presence of cultural transmission can have a variety of effects on population carrying capacity. From stable polymorphism, where scroungers bring an advantage to the population (increase in carrying capacity), to periodic cycling, where scroungers decrease carrying capacity, we find that selection-driven cultural innovation and transmission may send a population on the path of indefinite growth or to extinction.	[Lehmann, Laurent; Feldman, Marcus W.] Stanford Univ, Dept Biol Sci, Stanford, CA 94305 USA	Stanford University	Lehmann, L (corresponding author), Stanford Univ, Dept Biol Sci, Stanford, CA 94305 USA.	lehmann@stanford.edu	lehmann, laurent/B-6875-2012		Swiss NSF; NIH [GM28016]	Swiss NSF(Swiss National Science Foundation (SNSF)); NIH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA)	We thank R. Kaeuffer for helpful discussions, U. Steiner for helpful comments on the manuscript and all the reviewers for constructive criticism that improved the paper. L. L. is supported by a grant from the Swiss NSF and by NIH grant GM28016 to M. W. F.		35	26	26	0	23	ROYAL SOC	LONDON	6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND	0962-8452	1471-2954		P ROY SOC B-BIOL SCI	Proc. R. Soc. B-Biol. Sci.	NOV 7	2009	276	1674					3853	3862		10.1098/rspb.2009.0724	http://dx.doi.org/10.1098/rspb.2009.0724			10	Biology; Ecology; Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Evolutionary Biology	498VZ	19692409	Green Published			2023-03-15	WOS:000270174800015
J	Cosner, C; Nevai, AL				Cosner, Chris; Nevai, Andrew L.			SPATIAL POPULATION DYNAMICS IN A PRODUCER-SCROUNGER MODEL	DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B			English	Article						Producer-scrounger; scramble kleptoparasitism; spatial ecology; population dynamics; reaction-diffusion	EIGENVALUE PROBLEM; GAME-THEORY; EVOLUTION; KLEPTOPARASITISM; EQUATIONS; ENVIRONMENTS; DISPERSAL; EXISTENCE; FORAGERS; MOVEMENT	The spatial population dynamics of an ecological system involving producers and scroungers is studied using a reaction-diffusion model. The two populations move randomly and increase logistically, with birth rates determined by the amount of resource acquired. Producers can obtain the resource directly from the environment, but must surrender a proportion of their discoveries to nearby scroungers through a process known as scramble kleptoparasitism. The proportion of resources stolen by a scrounger from nearby producers decreases as the local scrounger density increases. Parameter combinations which allow producers and scroungers to persist either alone or together are distinguished from those in which they cannot. Producer persistence depends in general on the distribution of resources and producer movement, whereas scrounger persistence depends on its ability to invade when producers are at steady-state. It is found that (i) both species can persist when the habitat has high productivity, (ii) neither species can persist when the habitat has low productivity, and (iii) slower dispersal of both the producer and scrounger is favored when the habitat has intermediate productivity.	[Cosner, Chris] Univ Miami, Dept Math, Coral Gables, FL 33124 USA; [Nevai, Andrew L.] Univ Cent Florida, Dept Math, Orlando, FL 32816 USA	University of Miami; State University System of Florida; University of Central Florida	Cosner, C (corresponding author), Univ Miami, Dept Math, Coral Gables, FL 33124 USA.	gcc@math.miami.edu; math.anevai@gmail.com			NSF [DMS-118623]; Simons Foundation [282958]; Direct For Mathematical & Physical Scien; Division Of Mathematical Sciences [1118623] Funding Source: National Science Foundation	NSF(National Science Foundation (NSF)); Simons Foundation; Direct For Mathematical & Physical Scien; Division Of Mathematical Sciences(National Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS))	We thank R.S. Cantrell, Y. Lou, Z. Shuai, and an anonymous referee for many helpful suggestions. This work was partially supported by grants from the NSF (DMS-118623 to C. Cosner) and from the Simons Foundation (#282958 to A. Nevai).		54	3	3	0	12	AMER INST MATHEMATICAL SCIENCES-AIMS	SPRINGFIELD	PO BOX 2604, SPRINGFIELD, MO 65801-2604 USA	1531-3492	1553-524X		DISCRETE CONT DYN-B	Discrete Contin. Dyn. Syst.-Ser. B	AUG	2015	20	6			SI		1591	1607		10.3934/dcdsb.2015.20.1591	http://dx.doi.org/10.3934/dcdsb.2015.20.1591			17	Mathematics, Applied	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	CJ5YQ		gold			2023-03-15	WOS:000355570500003
